initial_line,example,steps,avg_reward,max_reward
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",1,50,-31.833333333333332,16
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",1,100,-22.916666666666668,46
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",1,200,25.833333333333332,162
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",2,50,-13.833333333333334,14
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",2,100,21.416666666666668,74
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",2,200,68.16666666666667,122
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",3,50,20.083333333333332,56
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",3,100,108.5,149
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",3,200,178.25,249
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",4,50,11.083333333333334,81
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",4,100,82.83333333333333,155
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",4,200,206.0,305
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",5,50,39.75,82
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",5,100,123.58333333333333,188
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",5,200,308.9166666666667,380
"[1, 2, 4]",1,50,-11.833333333333334,135
"[1, 2, 4]",1,100,-7.166666666666667,30
"[1, 2, 4]",1,200,57.166666666666664,151
"[1, 2, 4]",2,50,-0.5833333333333334,27
"[1, 2, 4]",2,100,15.916666666666666,51
"[1, 2, 4]",2,200,77.25,146
"[1, 2, 4]",3,50,19.0,70
"[1, 2, 4]",3,100,72.91666666666667,143
"[1, 2, 4]",3,200,175.75,258
"[1, 2, 4]",4,50,26.083333333333332,51
"[1, 2, 4]",4,100,83.33333333333333,255
"[1, 2, 4]",4,200,220.08333333333334,275
"[1, 2, 4]",5,50,44.333333333333336,85
"[1, 2, 4]",5,100,118.0,156
"[1, 2, 4]",5,200,316.4166666666667,367
"[2, 2, 2, 3, 3, 3]",1,50,-20.083333333333332,21
"[2, 2, 2, 3, 3, 3]",1,100,-5.25,55
"[2, 2, 2, 3, 3, 3]",1,200,30.833333333333332,129
"[2, 2, 2, 3, 3, 3]",2,50,-17.166666666666668,15
"[2, 2, 2, 3, 3, 3]",2,100,25.916666666666668,72
"[2, 2, 2, 3, 3, 3]",2,200,82.5,133
"[2, 2, 2, 3, 3, 3]",3,50,42.416666666666664,88
"[2, 2, 2, 3, 3, 3]",3,100,83.58333333333333,138
"[2, 2, 2, 3, 3, 3]",3,200,121.83333333333333,254
"[2, 2, 2, 3, 3, 3]",4,50,23.416666666666668,41
"[2, 2, 2, 3, 3, 3]",4,100,84.58333333333333,127
"[2, 2, 2, 3, 3, 3]",4,200,204.08333333333334,301
"[2, 2, 2, 3, 3, 3]",5,50,42.25,114
"[2, 2, 2, 3, 3, 3]",5,100,114.58333333333333,171
"[2, 2, 2, 3, 3, 3]",5,200,312.8333333333333,373
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",1,50,-11.5,32
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",1,100,8.333333333333334,68
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",1,200,74.83333333333333,155
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",2,50,-18.333333333333332,23
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",2,100,6.833333333333333,65
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",2,200,71.08333333333333,145
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",3,50,43.583333333333336,118
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",3,100,101.16666666666667,153
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",3,200,159.5,254
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",4,50,25.833333333333332,85
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",4,100,80.58333333333333,156
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",4,200,199.16666666666666,277
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",5,50,70.58333333333333,111
"[2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1]",5,100,140.58333333333334,187
